x,cancer_type,y
23.617779,TCGA-LUAD,9.817594
8.633799,TCGA-LUAD,25.132624
4.560318,TCGA-LUAD,23.939074
9.946567,TCGA-LUAD,27.200308
4.1677923,TCGA-LUAD,23.788973
4.540537,TCGA-LUAD,23.960268
9.221845,TCGA-LUAD,26.832466
9.254285,TCGA-LUAD,26.725183
23.011255,TCGA-LUAD,6.281104
10.096315,TCGA-LUAD,27.943598
6.919083,TCGA-LUSC,23.155895
-6.7377114,TCGA-LUSC,35.931458
0.6915006,TCGA-LUSC,26.952188
1.0021397,TCGA-LUSC,21.24202
-0.8898999,TCGA-LUSC,22.73631
2.4614956,TCGA-LUSC,20.377693
-0.6923861,TCGA-LUSC,20.527546
2.4647458,TCGA-LUSC,19.997738
4.0229278,TCGA-LUSC,20.535412
0.88720584,TCGA-LUSC,19.2776
-0.26366052,TCGA-LUSC,22.12117
-0.13028462,TCGA-LUSC,20.919968
1.651792,TCGA-LUSC,19.939304
-2.3307524,TCGA-LUSC,21.039047
-0.34267077,TCGA-LUSC,20.00922
-17.71605,TCGA-LUSC,32.370068
1.8843378,TCGA-LUSC,21.754164
-19.821753,TCGA-OV,21.83809
-21.856924,TCGA-OV,23.989428
-21.32194,TCGA-OV,23.857252
-19.029348,TCGA-OV,25.68949
-18.988832,TCGA-OV,23.300241
-18.53812,TCGA-OV,24.76226
-19.11736,TCGA-OV,21.997524
-20.267096,TCGA-OV,24.075102
-19.737757,TCGA-OV,22.152206
-20.535612,TCGA-OV,23.506666
-19.862617,TCGA-OV,23.378283
-5.1463566,TCGA-OV,34.51313
-30.09047,TCGA-OV,10.879245
-19.339882,TCGA-OV,24.208458
-30.01237,TCGA-OV,-3.2436135
-19.60566,TCGA-OV,20.256573
-16.369608,TCGA-OV,24.412788
-30.77353,TCGA-OV,10.136768
-31.11096,TCGA-OV,9.722429
-16.880325,TCGA-OV,22.70678
-31.047611,TCGA-OV,9.593452
-16.166756,TCGA-OV,24.723307
-16.926413,TCGA-OV,22.145994
-16.729443,TCGA-OV,23.282907
-15.524447,TCGA-OV,21.26777
-34.68251,TCGA-OV,2.3934045
4.892559,TCGA-LUSC,17.897732
4.943844,TCGA-LUSC,17.91757
-28.028633,TCGA-LUSC,-6.7450905
-27.875301,TCGA-LUSC,-5.653192
-13.524935,TCGA-LUSC,-3.8702066
-5.699905,TCGA-BRCA,-5.582749
4.664064,TCGA-BRCA,-14.612096
-0.30293506,TCGA-BRCA,-13.411254
8.597248,TCGA-BRCA,-5.5778303
-0.42627802,TCGA-BRCA,-13.447876
0.9484795,TCGA-BRCA,-11.407914
0.4717195,TCGA-BRCA,-11.742018
0.22194093,TCGA-BRCA,-13.269438
3.6759953,TCGA-BRCA,-13.080843
0.927434,TCGA-BRCA,-13.943837
17.725206,TCGA-BRCA,26.868647
21.89643,TCGA-BRCA,21.534063
-7.7760425,TCGA-BRCA,-20.801876
-9.802367,TCGA-BRCA,-21.777657
11.375455,TCGA-BRCA,-11.98296
6.2182693,TCGA-BRCA,-11.144265
5.141538,TCGA-BRCA,-9.814948
6.704837,TCGA-BRCA,-10.62932
5.364384,TCGA-BRCA,-10.265075
5.421438,TCGA-BRCA,-10.68341
4.9647694,TCGA-BRCA,-10.276154
3.4526882,TCGA-BRCA,-11.198105
4.0592656,TCGA-BRCA,-10.7525015
5.710151,TCGA-BRCA,-10.235306
16.61639,TCGA-COAD,-4.0225844
4.5426536,TCGA-KIRC,35.95403
4.1421056,TCGA-KIRC,29.744495
3.9751139,TCGA-KIRC,29.60382
2.7893193,TCGA-KIRC,27.892962
5.871689,TCGA-KIRC,39.424706
6.588558,TCGA-KIRC,39.84918
5.961015,TCGA-KIRC,36.67281
6.6002035,TCGA-KIRC,34.558426
5.546151,TCGA-KIRC,34.492447
5.9989705,TCGA-KIRC,38.412056
6.070415,TCGA-KIRC,38.183655
6.2367544,TCGA-KIRC,40.138477
6.429385,TCGA-KIRC,40.064037
-14.47861,TCGA-KIRC,22.772524
3.1053243,TCGA-KIRC,29.02241
6.0370216,TCGA-KIRC,32.23492
4.8259006,TCGA-KIRC,35.91431
