x,cancer_type,y
-5.4047275,TCGA-LUAD,5.0817337
-2.684577,TCGA-LUAD,6.5207005
-2.440503,TCGA-LUAD,6.148005
-3.3099158,TCGA-LUAD,5.225491
-1.5686995,TCGA-LUAD,6.443683
-2.069914,TCGA-LUAD,5.44776
-13.234412,TCGA-LUAD,16.880394
-5.1781964,TCGA-LUAD,10.673063
22.845266,TCGA-LUSC,23.196678
-3.818984,TCGA-LUSC,17.137339
20.506062,TCGA-LUSC,23.182314
26.409628,TCGA-LUSC,9.888461
26.748745,TCGA-LUSC,12.846689
35.399727,TCGA-LUSC,8.393174
26.300777,TCGA-LUSC,12.797616
-25.274004,TCGA-LUSC,6.377417
-5.909813,TCGA-LUSC,18.715881
36.519238,TCGA-LUSC,7.6013536
24.85023,TCGA-LUSC,12.108011
24.852964,TCGA-LUSC,12.081618
35.208138,TCGA-LUSC,8.648045
21.579308,TCGA-LUSC,14.6428385
36.894535,TCGA-LUSC,7.374282
26.341238,TCGA-LUSC,9.991605
27.31424,TCGA-LUSC,12.728431
11.1353245,TCGA-OV,22.57948
8.21813,TCGA-OV,22.578033
4.9040294,TCGA-OV,21.084957
-14.686472,TCGA-OV,19.349895
3.259871,TCGA-OV,22.596367
-12.678474,TCGA-OV,14.898013
10.855182,TCGA-OV,24.749653
6.1259446,TCGA-OV,23.082872
9.70536,TCGA-OV,23.714367
7.7089453,TCGA-OV,23.86143
7.0054564,TCGA-OV,23.239855
7.794289,TCGA-OV,23.156038
11.395573,TCGA-OV,21.623337
5.724239,TCGA-OV,23.482355
-24.101658,TCGA-OV,-0.51711315
13.755152,TCGA-OV,21.92306
-12.480827,TCGA-OV,13.467186
10.445358,TCGA-OV,22.790417
9.011533,TCGA-OV,22.52869
9.106948,TCGA-OV,24.660082
8.589014,TCGA-OV,23.038414
-12.515272,TCGA-OV,13.058353
4.980144,TCGA-OV,21.93006
-11.468016,TCGA-OV,13.69263
-8.95684,TCGA-OV,-14.070078
-8.9867,TCGA-OV,10.1920595
0.98419374,TCGA-LUSC,11.699412
-6.2820005,TCGA-LUSC,17.676037
-24.739075,TCGA-LUSC,1.0170745
-32.79016,TCGA-LUSC,-0.61476696
18.78208,TCGA-LUSC,11.252945
32.414173,TCGA-BRCA,0.6891745
-10.405862,TCGA-BRCA,-6.477171
-9.908985,TCGA-BRCA,-7.169397
32.49183,TCGA-BRCA,0.22416478
-10.282159,TCGA-BRCA,-6.8169274
1.8031378,TCGA-BRCA,9.98811
5.653986,TCGA-BRCA,-5.5976887
5.652247,TCGA-BRCA,-5.69374
15.647651,TCGA-BRCA,-18.879469
15.353582,TCGA-BRCA,-18.652828
14.04809,TCGA-BRCA,-18.231554
1.615621,TCGA-BRCA,12.45081
-34.89903,TCGA-BRCA,-26.290358
-6.7488885,TCGA-BRCA,-0.2589969
-10.905303,TCGA-BRCA,-9.463965
-10.315647,TCGA-BRCA,-9.6123705
-13.0445,TCGA-BRCA,-9.523097
2.708346,TCGA-BRCA,-21.439419
-11.9707775,TCGA-BRCA,-9.184819
-11.787699,TCGA-BRCA,-10.437863
-12.643524,TCGA-BRCA,-7.832526
-0.749606,TCGA-BRCA,-1.8385975
-12.467078,TCGA-BRCA,-7.334018
-11.985302,TCGA-BRCA,-11.183762
-21.520235,TCGA-COAD,7.1386595
-13.264215,TCGA-KIRC,13.725351
8.815487,TCGA-KIRC,27.30239
8.52367,TCGA-KIRC,27.32878
5.4767385,TCGA-KIRC,18.897036
-16.101347,TCGA-KIRC,18.548655
-18.973988,TCGA-KIRC,21.353102
-17.088984,TCGA-KIRC,20.465109
-17.795813,TCGA-KIRC,13.47212
-15.213321,TCGA-KIRC,11.026842
-15.390741,TCGA-KIRC,16.534124
-16.982862,TCGA-KIRC,20.576113
-19.268625,TCGA-KIRC,21.746887
-19.149574,TCGA-KIRC,21.565685
10.094485,TCGA-KIRC,25.789566
-7.926935,TCGA-KIRC,-10.592605
-9.73233,TCGA-KIRC,16.374022
-15.994811,TCGA-KIRC,17.060558
9.859566,TCGA-KIRC,27.038744
-16.40629,TCGA-KIRC,21.363348
-8.698172,TCGA-KIRC,17.257374
-4.471216,TCGA-KIRC,9.80684
-6.8224645,TCGA-KIRC,10.68373
8.123657,TCGA-KIRC,17.106792
11.610855,TCGA-KIRC,17.402775
-4.8620553,TCGA-KIRC,3.9454277
2.0283363,TCGA-KIRC,30.017864
7.792554,TCGA-KIRC,27.541506
14.757233,TCGA-KIRC,20.215258
-3.555102,TCGA-KIRC,4.737539
-2.52679,TCGA-KIRC,14.819461
10.038498,TCGA-KIRC,15.779462
10.073811,TCGA-KIRC,15.737602
1.8956156,TCGA-KIRC,16.88121
29.724098,TCGA-KIRC,27.71115
27.618258,TCGA-KIRC,27.319668
29.956663,TCGA-KIRC,28.979694
26.989492,TCGA-KIRC,28.882196
27.693752,TCGA-KIRC,28.575504
26.972069,TCGA-KIRC,29.076063
-34.521183,TCGA-KIRC,0.79881424
24.666878,TCGA-KIRC,27.688381
29.37686,TCGA-KIRC,7.538847
17.044344,TCGA-KIRC,-28.229866
23.05045,TCGA-KIRC,25.944883
22.80366,TCGA-KIRC,24.53496
21.913376,TCGA-KIRC,25.341686
20.69473,TCGA-KIRC,24.526703
27.110456,TCGA-KIRC,30.558603
26.952948,TCGA-KIRC,31.332123
24.721542,TCGA-KIRC,24.379814
24.012367,TCGA-KIRC,24.547348
25.828707,TCGA-KIRC,24.778044
3.2080834,TCGA-KIRC,17.822819
24.860907,TCGA-KIRC,24.05658
21.900103,TCGA-KIRC,24.024572
17.011806,TCGA-KIRC,-17.830153
-30.159615,TCGA-KIRC,2.4285564
22.56209,TCGA-KIRC,31.161127
23.346571,TCGA-KIRC,30.778517
22.183168,TCGA-KIRC,-2.0737731
28.438454,TCGA-KIRP,28.091677
21.221338,TCGA-KIRP,23.582293
23.09213,TCGA-KIRP,24.53436
23.541708,TCGA-KIRP,25.303553
24.591764,TCGA-KIRP,25.576399
-16.253487,TCGA-KIRP,-0.9131851
28.248045,TCGA-KIRP,29.603565
27.18495,TCGA-KIRP,28.391684
23.408094,TCGA-KIRP,22.094118
-28.916449,TCGA-KIRP,2.6257043
-6.310014,TCGA-LIHC,-5.119669
3.9488513,TCGA-LIHC,-4.0701947
-0.71019244,TCGA-LIHC,4.3006554
27.632448,TCGA-LIHC,1.7043676
19.818928,TCGA-LIHC,-2.0235362
-30.366846,TCGA-LIHC,-0.9259993
22.393887,TCGA-LIHC,2.2991483
-21.34881,TCGA-LIHC,5.465964
9.136103,TCGA-LIHC,-5.339399
-30.002806,TCGA-LIHC,-1.6599259
26.143246,TCGA-LIHC,1.2238455
-5.949509,TCGA-LIHC,-5.453298
0.8474141,TCGA-LIHC,4.286232
1.0412512,TCGA-LIHC,4.215263
1.3256296,TCGA-BRCA,14.450919
0.69911236,TCGA-BRCA,15.659472
-0.9867864,TCGA-BRCA,15.407477
3.568472,TCGA-BRCA,13.761355
1.789729,TCGA-BRCA,15.345859
-3.1565917,TCGA-BRCA,14.551776
-13.932962,TCGA-BRCA,-10.5608225
-6.21703,TCGA-BRCA,13.020428
3.2899516,TCGA-BRCA,15.036883
-1.4889818,TCGA-BRCA,14.326857
3.1279538,TCGA-BRCA,14.612078
-1.4058584,TCGA-BRCA,12.424318
-7.710804,TCGA-BRCA,12.933263
-6.4047823,TCGA-BRCA,16.42985
-7.33873,TCGA-BRCA,17.821037
-7.1011386,TCGA-BRCA,16.408152
-13.720457,TCGA-BRCA,-7.102495
-4.3758373,TCGA-BRCA,13.259113
-7.3481445,TCGA-BRCA,13.806457
-2.5608063,TCGA-BRCA,14.046952
-8.440145,TCGA-BRCA,12.973672
-7.0227222,TCGA-BRCA,11.678709
-4.903701,TCGA-BRCA,12.882098
-3.6424763,TCGA-BRCA,13.298334
-2.8552098,TCGA-BRCA,12.791193
1.0400479,TCGA-BRCA,13.500422
7.794697,TCGA-BRCA,15.386453
1.0224731,TCGA-BRCA,14.301723
1.7590063,TCGA-BRCA,15.206584
0.004768164,TCGA-BRCA,14.816367
-4.1326447,TCGA-BRCA,10.754101
3.8054557,TCGA-BRCA,11.436278
3.8954198,TCGA-BRCA,11.339661
10.315775,TCGA-BRCA,19.867752
2.658362,TCGA-BRCA,13.7805805
-5.051625,TCGA-BRCA,15.092246
3.2893682,TCGA-BRCA,12.754001
-35.158493,TCGA-BRCA,-3.6830986
-7.451378,TCGA-BRCA,4.6657443
-9.015819,TCGA-BRCA,-26.764622
-30.823236,TCGA-BRCA,-2.2779756
13.563657,TCGA-BRCA,15.502586
-1.8654624,TCGA-BRCA,-13.539866
6.407588,TCGA-BRCA,-10.389979
-7.3551774,TCGA-BRCA,4.7497606
13.767664,TCGA-BRCA,15.946853
14.125884,TCGA-READ,-12.537119
25.851984,TCGA-KIRC,-9.511796
37.102448,TCGA-KIRC,3.8055418
23.440598,TCGA-KIRC,-19.278427
-35.336727,TCGA-KIRC,4.9278173
23.680931,TCGA-KIRC,-7.749217
20.656582,TCGA-KIRC,-20.035446
23.727222,TCGA-KIRC,-20.846037
29.673466,TCGA-KIRC,1.4407735
22.40312,TCGA-KIRC,-19.81392
36.402664,TCGA-KIRC,0.8262521
24.156221,TCGA-KIRC,-7.617731
34.698765,TCGA-KIRC,-2.8454647
37.09529,TCGA-KIRC,3.6408417
32.764816,TCGA-KIRC,2.202614
37.064617,TCGA-KIRC,0.6366209
35.09245,TCGA-KIRC,3.845614
22.912233,TCGA-KIRC,-17.037334
34.86794,TCGA-KIRC,0.11337216
31.786282,TCGA-KIRC,-6.021447
32.03696,TCGA-KIRC,-19.163958
15.923711,TCGA-KIRC,-19.812668
-8.877753,TCGA-KIRC,20.5468
25.263063,TCGA-KIRC,-17.817186
37.23682,TCGA-KIRC,2.4880245
37.294716,TCGA-KIRC,0.8486601
25.359919,TCGA-KIRC,-19.55124
